,brand,model,year,age,mileage,mileage_per_year,engine_size,fuel_type,transmission,condition,condition_score,owner_count,color,body_type,is_luxury,mpg_estimate,price_usd,price_local,price_category,market_segment,depreciation_rate,value_retention,insurance_estimate,power_to_weight_ratio,regional_factor,source,price_inr
16,Nissan,Rogue,2010,14,58070,4147.857142857143,2.0,Diesel,Automatic,Poor,1,4,Silver,Sedan,0,42.0,8674,8674.0,Budget,Budget,0.763483666902983,0.236516333097017,600,0.037037037037037,1.0,Dataset1_Kaggle_Style,711268
17,Mercedes,A-Class,2007,17,78488,4616.941176470588,1.0,Diesel,Automatic,Fair,2,2,Gray,SUV,1,38.0,17382,17382.0,Mid-Range,Economy,0.6617103265735083,0.3382896734264917,810,0.0175438596491228,1.0,Dataset1_Kaggle_Style,1425324
18,Hyundai,Sonata,2017,7,43735,6247.857142857143,2.4,Petrol,Manual,Good,3,1,Green,Convertible,0,25.4,26524,26524.0,Premium,Mid-Market,0.345474286842365,0.654525713157635,811,0.051063829787234,1.0,Dataset1_Kaggle_Style,2174968
19,Chevrolet,Silverado,2007,17,119799,7047.0,3.5,Petrol,Manual,Fair,2,0,Green,SUV,0,19.0,11371,11371.0,Mid-Range,Economy,0.7493773555795552,0.2506226444204448,690,0.0614035087719298,1.0,Dataset1_Kaggle_Style,932422
20,Honda,Accord,2010,14,142358,10168.42857142857,2.4,Petrol,Automatic,Fair,2,2,Red,SUV,0,33.4,12636,12636.0,Mid-Range,Economy,0.6890441972635102,0.3109558027364898,624,0.0444444444444444,1.0,Dataset1_Kaggle_Style,1036152
21,Hyundai,Sonata,2015,9,3324,369.3333333333333,1.4,Petrol,Manual,Fair,2,2,Black,Coupe,0,39.4,14683,14683.0,Mid-Range,Economy,0.5507450356454426,0.4492549643545573,620,0.0285714285714285,1.0,Dataset1_Kaggle_Style,1204006
22,Nissan,Sentra,2021,3,25739,8579.666666666666,1.6,Petrol,Automatic,Good,3,3,Brown,Convertible,0,34.6,27094,27094.0,Premium,Mid-Market,0.1813017465401583,0.8186982534598417,979,0.0372093023255813,1.0,Dataset1_Kaggle_Style,2221708
23,Chevrolet,Traverse,2014,10,1186,118.6,2.0,Electric,Automatic,Good,3,0,Gray,SUV,0,105.0,31051,31051.0,Premium,Mid-Market,0.3917650976474506,0.6082349023525494,600,0.04,1.0,Dataset1_Kaggle_Style,2546182
24,Mercedes,GLC,2016,8,19980,2497.5,4.0,Petrol,Manual,Excellent,4,1,Black,Hatchback,1,17.0,55791,55791.0,Luxury,Luxury,0.2228691618726581,0.7771308381273418,1296,0.0833333333333333,1.0,Dataset1_Kaggle_Style,4574862
25,Audi,Q5,2021,3,38487,12829.0,2.4,Diesel,Automatic,Good,3,5,White,Sedan,1,43.2,39877,39877.0,Premium,Luxury,0.1307844889596093,0.8692155110403906,1591,0.055813953488372,1.0,Dataset1_Kaggle_Style,3269914
26,Toyota,Highlander,2008,16,120840,7552.5,1.6,Petrol,Automatic,Good,3,1,White,Wagon,0,39.6,10457,10457.0,Mid-Range,Economy,0.7537037473208187,0.2462962526791813,576,0.0285714285714285,1.0,Dataset1_Kaggle_Style,857474
27,Honda,Pilot,2006,18,93720,5206.666666666667,3.5,Petrol,Automatic,Good,3,5,Green,Coupe,0,32.0,16186,16186.0,Mid-Range,Economy,0.6898401870233396,0.3101598129766604,690,0.0603448275862069,1.0,Dataset1_Kaggle_Style,1327252
28,Honda,Ridgeline,2015,9,6819,757.6666666666666,4.0,Petrol,Automatic,Poor,1,3,Gray,Convertible,0,21.0,20677,20677.0,Mid-Range,Mid-Market,0.4653928691470382,0.5346071308529617,792,0.0816326530612244,1.0,Dataset1_Kaggle_Style,1695514
29,BMW,7 Series,2011,13,4882,375.5384615384616,3.0,Diesel,Automatic,Excellent,4,3,Silver,Convertible,1,36.0,64145,64145.0,Luxury,Luxury,0.2884242054467801,0.7115757945532198,990,0.0566037735849056,1.0,Dataset1_Kaggle_Style,5259890
30,Volkswagen,Atlas,2006,18,44490,2471.6666666666665,3.0,Petrol,Manual,Fair,2,2,Red,Coupe,0,27.0,14795,14795.0,Mid-Range,Economy,0.7087311743281819,0.2912688256718181,660,0.0517241379310344,1.0,Dataset1_Kaggle_Style,1213190
31,BMW,X1,2022,2,37976,18988.0,3.0,Petrol,Manual,Excellent,4,1,Green,SUV,1,29.0,79895,79895.0,Luxury,Luxury,0.0476786459264556,0.9523213540735443,1782,0.0714285714285714,1.0,Dataset1_Kaggle_Style,6551390
32,Honda,Accord,2008,16,15488,968.0,5.0,Electric,Automatic,Excellent,4,5,Red,Coupe,0,128.0,39647,39647.0,Premium,Mid-Market,0.4466341926389102,0.5533658073610898,780,0.0892857142857142,1.0,Dataset1_Kaggle_Style,3251054
33,Honda,Accord,2012,12,114856,9571.333333333334,3.5,Petrol,Automatic,Good,3,1,White,Convertible,0,24.0,25953,25953.0,Premium,Mid-Market,0.4804516245270555,0.5195483754729445,690,0.0673076923076923,1.0,Dataset1_Kaggle_Style,2128146
34,Chevrolet,Tahoe,2018,6,131116,21852.666666666668,2.0,Petrol,Manual,Excellent,4,5,White,Hatchback,0,28.0,10644,10644.0,Mid-Range,Economy,0.5299417064122947,0.4700582935877053,840,0.0434782608695652,1.0,Dataset1_Kaggle_Style,872808
35,Audi,Q3,2016,8,25759,3219.875,1.2,Petrol,Manual,Poor,1,1,Red,SUV,1,39.2,25516,25516.0,Premium,Mid-Market,0.3853935831968398,0.6146064168031602,993,0.025,1.0,Dataset1_Kaggle_Style,2092312
36,Mercedes,GLC,2022,2,110501,55250.5,1.2,Petrol,Manual,Good,3,2,Red,Wagon,1,39.2,33480,33480.0,Premium,Luxury,0.1067235859124866,0.8932764140875133,1490,0.0285714285714285,1.0,Dataset1_Kaggle_Style,2745360
37,Hyundai,Genesis,2015,9,24221,2691.222222222222,4.0,Petrol,Manual,Excellent,4,5,Brown,Coupe,0,22.0,23289,23289.0,Mid-Range,Mid-Market,0.4359514640703334,0.5640485359296665,792,0.0816326530612244,1.0,Dataset1_Kaggle_Style,1909698
38,Audi,A3,2012,12,66745,5562.083333333333,1.6,Petrol,Manual,Excellent,4,1,Silver,Convertible,1,36.6,37411,37411.0,Premium,Luxury,0.3908094641025224,0.6091905358974776,864,0.0307692307692307,1.0,Dataset1_Kaggle_Style,3067702
39,Honda,Fit,2006,18,32307,1794.8333333333333,3.0,Petrol,Automatic,Good,3,4,Red,Wagon,0,22.0,14773,14773.0,Mid-Range,Economy,0.7090382683709846,0.2909617316290154,660,0.0517241379310344,1.0,Dataset1_Kaggle_Style,1211386
40,Audi,A6,2019,5,6538,1307.6,1.4,Petrol,Automatic,Excellent,4,3,Black,Convertible,1,34.4,60840,60840.0,Luxury,Luxury,0.1411631846414455,0.8588368153585545,1269,0.0311111111111111,1.0,Dataset1_Kaggle_Style,4988880
41,Hyundai,Santa Fe,2013,11,131508,11955.272727272728,2.0,Diesel,Manual,Good,3,3,Red,Convertible,0,35.0,14428,14428.0,Mid-Range,Economy,0.6039310420555617,0.3960689579444383,600,0.0392156862745098,1.0,Dataset1_Kaggle_Style,1183096
42,Hyundai,Accent,2023,1,30265,30265.0,1.2,Diesel,Manual,Good,3,5,Blue,Hatchback,0,44.6,14742,14742.0,Mid-Range,Economy,0.1194600406164138,0.8805399593835862,1048,0.0292682926829268,1.0,Dataset1_Kaggle_Style,1208844
43,Toyota,Camry,2012,12,66304,5525.333333333333,1.0,Petrol,Automatic,Excellent,4,3,Red,SUV,0,29.0,18132,18132.0,Mid-Range,Economy,0.5696382796923953,0.4303617203076046,540,0.0192307692307692,1.0,Dataset1_Kaggle_Style,1486824
44,Mercedes,C-Class,2023,1,22877,22877.0,5.0,Petrol,Automatic,Good,3,3,White,Coupe,1,14.0,72151,72151.0,Luxury,Luxury,0.0269719895888119,0.973028010411188,2223,0.1219512195121951,1.0,Dataset1_Kaggle_Style,5916382
45,Audi,A4,2009,15,953,63.53333333333333,1.8,Petrol,Manual,Fair,2,4,White,SUV,1,28.8,23554,23554.0,Mid-Range,Mid-Market,0.5601822459573514,0.4398177540426485,882,0.0327272727272727,1.0,Dataset1_Kaggle_Style,1931428
46,Audi,Q5,2015,9,5297,588.5555555555555,2.7,Petrol,Automatic,Good,3,0,Green,Convertible,1,26.2,59319,59319.0,Luxury,Luxury,0.2328017692934466,0.7671982307065534,1059,0.0551020408163265,1.0,Dataset1_Kaggle_Style,4864158
47,Ford,F-150,2019,5,34280,6856.0,3.5,Petrol,Automatic,Good,3,1,Brown,Hatchback,0,33.0,23418,23418.0,Mid-Range,Mid-Market,0.2992399305763361,0.7007600694236639,1035,0.0777777777777777,1.0,Dataset1_Kaggle_Style,1920276
48,Audi,Q5,2012,12,58553,4879.416666666667,3.5,Petrol,Automatic,Good,3,5,Blue,Wagon,1,28.0,28388,28388.0,Premium,Mid-Market,0.4581201801939375,0.5418798198060625,1035,0.0673076923076923,1.0,Dataset1_Kaggle_Style,2327816
49,Ford,F-150,2023,1,20378,20378.0,1.2,Electric,Automatic,Fair,2,3,Black,Hatchback,0,101.0,17979,17979.0,Mid-Range,Economy,0.1001051103658842,0.8998948896341158,1048,0.0292682926829268,1.0,Dataset1_Kaggle_Style,1474278
50,Nissan,Sentra,2012,12,59452,4954.333333333333,3.5,Petrol,Automatic,Fair,2,1,Red,Convertible,0,21.0,22027,22027.0,Mid-Range,Mid-Market,0.5214330718925848,0.4785669281074152,690,0.0673076923076923,1.0,Dataset1_Kaggle_Style,1806214
51,Mercedes,E-Class,2023,1,59971,59971.0,3.0,Electric,Automatic,Fair,2,1,Red,SUV,1,130.0,70042,70042.0,Luxury,Luxury,0.0277615835207239,0.972238416479276,1881,0.073170731707317,1.0,Dataset1_Kaggle_Style,5743444
52,Hyundai,Santa Fe,2022,2,60858,30429.0,5.0,Petrol,Automatic,Good,3,4,Blue,Wagon,0,13.0,24225,24225.0,Mid-Range,Mid-Market,0.1417183348095659,0.858281665190434,1404,0.119047619047619,1.0,Dataset1_Kaggle_Style,1986450
53,Mercedes,C-Class,2014,10,33915,3391.5,2.7,Petrol,Manual,Excellent,4,1,Green,SUV,1,31.2,66467,66467.0,Luxury,Luxury,0.231302115257844,0.768697884742156,963,0.054,1.0,Dataset1_Kaggle_Style,5450294
54,Audi,Q7,2011,13,123188,9476.0,1.4,Petrol,Automatic,Good,3,3,Silver,Hatchback,1,30.4,17542,17542.0,Mid-Range,Economy,0.5971246153139498,0.4028753846860502,846,0.0264150943396226,1.0,Dataset1_Kaggle_Style,1438444
55,Honda,Civic,2013,11,33588,3053.454545454545,1.0,Petrol,Manual,Fair,2,5,Brown,Wagon,0,38.0,9904,9904.0,Budget,Budget,0.6895687061183551,0.3104312938816449,540,0.0196078431372549,1.0,Dataset1_Kaggle_Style,812128
56,Mercedes,S-Class,2005,19,29915,1574.4736842105262,1.6,Petrol,Manual,Excellent,4,1,Brown,Sedan,1,29.6,27382,27382.0,Premium,Mid-Market,0.5811997185769784,0.4188002814230216,864,0.0271186440677966,1.0,Dataset1_Kaggle_Style,2245324
57,Audi,A3,2023,1,11118,11118.0,2.7,Petrol,Automatic,Good,3,4,Silver,Hatchback,1,33.2,44670,44670.0,Premium,Luxury,0.0428540818512963,0.9571459181487036,1829,0.0658536585365853,1.0,Dataset1_Kaggle_Style,3662940
58,Ford,Focus,2009,15,18383,1225.5333333333333,1.4,Electric,Automatic,Fair,2,5,Green,Wagon,0,128.0,10618,10618.0,Mid-Range,Economy,0.7385888029937466,0.2614111970062533,564,0.0254545454545454,1.0,Dataset1_Kaggle_Style,870676
59,Audi,Q3,2023,1,2162,2162.0,3.5,Petrol,Automatic,Good,3,5,Black,Hatchback,1,26.0,44478,44478.0,Premium,Luxury,0.0430311114936098,0.9569688885063902,1966,0.0853658536585365,1.0,Dataset1_Kaggle_Style,3647196
60,Ford,F-150,2005,19,50192,2641.684210526316,5.0,Petrol,Manual,Good,3,5,Red,Coupe,0,21.0,14791,14791.0,Mid-Range,Economy,0.7198196662309864,0.2801803337690136,780,0.0847457627118644,1.0,Dataset1_Kaggle_Style,1212862
61,Ford,Mustang,2019,5,14286,2857.2,1.2,Diesel,Automatic,Good,3,3,Red,Hatchback,0,44.6,15100,15100.0,Mid-Range,Economy,0.398406374501992,0.601593625498008,827,0.0266666666666666,1.0,Dataset1_Kaggle_Style,1238200
62,Ford,F-150,2020,4,18131,4532.75,2.4,Diesel,Automatic,Excellent,4,4,Red,Sedan,0,37.2,22069,22069.0,Mid-Range,Mid-Market,0.266054740762912,0.733945259237088,998,0.0545454545454545,1.0,Dataset1_Kaggle_Style,1809658
63,Nissan,Sentra,2011,13,73661,5666.2307692307695,1.6,Diesel,Manual,Good,3,2,Green,Wagon,0,43.8,11010,11010.0,Mid-Range,Economy,0.7025128343690894,0.2974871656309106,576,0.030188679245283,1.0,Dataset1_Kaggle_Style,902820
64,Mercedes,S-Class,2016,8,19816,2477.0,2.0,Petrol,Automatic,Excellent,4,0,White,Wagon,1,28.0,55824,55824.0,Luxury,Luxury,0.2227667631989307,0.7772332368010693,1080,0.0416666666666666,1.0,Dataset1_Kaggle_Style,4577568
65,Mercedes,GLE,2012,12,13866,1155.5,1.8,Petrol,Automatic,Fair,2,1,Gray,Hatchback,1,37.8,30048,30048.0,Premium,Luxury,0.4440497335701598,0.5559502664298401,882,0.0346153846153846,1.0,Dataset1_Kaggle_Style,2463936
66,Hyundai,Sonata,2009,15,9259,617.2666666666667,1.2,Petrol,Manual,Fair,2,1,Silver,SUV,0,37.2,11811,11811.0,Mid-Range,Economy,0.7175145296692258,0.2824854703307742,552,0.0218181818181818,1.0,Dataset1_Kaggle_Style,968502
67,Volkswagen,Atlas,2014,10,74551,7455.1,3.5,Petrol,Manual,Good,3,1,Green,Coupe,0,27.0,29149,29149.0,Premium,Mid-Market,0.40692587845124,0.5930741215487599,690,0.07,1.0,Dataset1_Kaggle_Style,2390218
68,Ford,F-150,2009,15,6946,463.06666666666666,1.2,Petrol,Automatic,Good,3,2,Gray,Coupe,0,39.2,13139,13139.0,Mid-Range,Economy,0.695426412295139,0.304573587704861,552,0.0218181818181818,1.0,Dataset1_Kaggle_Style,1077398
69,Chevrolet,Cruze,2021,3,30234,10078.0,3.0,Petrol,Automatic,Good,3,5,Brown,Hatchback,0,22.0,17118,17118.0,Mid-Range,Economy,0.2595380223202699,0.7404619776797301,1122,0.0697674418604651,1.0,Dataset1_Kaggle_Style,1403676
70,Chevrolet,Tahoe,2009,15,35355,2357.0,4.0,Hybrid,Manual,Excellent,4,5,Blue,Coupe,0,45.0,19198,19198.0,Mid-Range,Economy,0.6097808854018456,0.3902191145981544,720,0.0727272727272727,1.0,Dataset1_Kaggle_Style,1574236
71,Nissan,Maxima,2019,5,58139,11627.8,3.5,Hybrid,Automatic,Excellent,4,0,Gray,Coupe,0,35.5,40499,40499.0,Premium,High-End,0.1980237232420444,0.8019762767579556,1035,0.0777777777777777,1.0,Dataset1_Kaggle_Style,3320918
72,Chevrolet,Cruze,2017,7,50158,7165.428571428572,1.2,Petrol,Manual,Good,3,4,White,Hatchback,0,29.2,10075,10075.0,Mid-Range,Economy,0.5815160955347871,0.4184839044652129,717,0.025531914893617,1.0,Dataset1_Kaggle_Style,826150
73,Mercedes,GLE,2005,19,83226,4380.315789473684,2.7,Petrol,Automatic,Fair,2,2,Brown,Sedan,1,36.2,19463,19463.0,Mid-Range,Economy,0.6612950942345509,0.3387049057654491,963,0.0457627118644067,1.0,Dataset1_Kaggle_Style,1595966
74,Ford,Edge,2015,9,2289,254.33333333333331,2.7,Petrol,Automatic,Poor,1,2,White,Wagon,0,33.2,11342,11342.0,Mid-Range,Economy,0.6134551155340467,0.3865448844659532,706,0.0551020408163265,1.0,Dataset1_Kaggle_Style,930044
75,Honda,Accord,2005,19,17580,925.2631578947368,1.0,Petrol,Manual,Good,3,3,Brown,Hatchback,0,36.0,8638,8638.0,Budget,Budget,0.814786225824435,0.1852137741755649,540,0.0169491525423728,1.0,Dataset1_Kaggle_Style,708316
76,Hyundai,Accent,2015,9,16434,1826.0,1.0,Petrol,Automatic,Good,3,5,Silver,SUV,0,43.0,15872,15872.0,Mid-Range,Economy,0.531412376003779,0.468587623996221,594,0.0204081632653061,1.0,Dataset1_Kaggle_Style,1301504
77,BMW,X5,2022,2,7892,3946.0,1.6,Hybrid,Automatic,Good,3,2,Red,Convertible,1,55.2,71478,71478.0,Luxury,Luxury,0.0529955748694983,0.9470044251305016,1555,0.0380952380952381,1.0,Dataset1_Kaggle_Style,5861196
78,Chevrolet,Tahoe,2022,2,17066,8533.0,1.2,Petrol,Automatic,Good,3,2,Black,Sedan,0,40.2,19950,19950.0,Mid-Range,Economy,0.1670146137787056,0.8329853862212944,993,0.0285714285714285,1.0,Dataset1_Kaggle_Style,1635900
79,Volkswagen,Atlas,2020,4,18536,4634.0,5.0,Petrol,Automatic,Good,3,1,Gray,Hatchback,0,21.0,38494,38494.0,Premium,Mid-Market,0.1720652127156192,0.8279347872843807,1248,0.1136363636363636,1.0,Dataset1_Kaggle_Style,3156508
80,Hyundai,Genesis,2017,7,36895,5270.714285714285,1.0,Petrol,Automatic,Fair,2,5,Brown,Sedan,0,41.0,11717,11717.0,Mid-Range,Economy,0.5443869813741883,0.4556130186258117,701,0.0212765957446808,1.0,Dataset1_Kaggle_Style,960794
81,Toyota,Camry,2011,13,54488,4191.384615384615,3.0,Electric,Automatic,Fair,2,3,Brown,Convertible,0,126.0,24215,24215.0,Mid-Range,Mid-Market,0.5177735736333765,0.4822264263666235,660,0.0566037735849056,1.0,Dataset1_Kaggle_Style,1985630
82,Hyundai,Tucson,2005,19,23990,1262.6315789473683,1.4,Hybrid,Manual,Good,3,4,Green,Coupe,0,49.8,10596,10596.0,Mid-Range,Economy,0.781957362745905,0.218042637254095,564,0.023728813559322,1.0,Dataset1_Kaggle_Style,868872
83,Hyundai,Santa Fe,2020,4,63553,15888.25,1.0,Diesel,Automatic,Good,3,0,Green,Coupe,0,41.0,25024,25024.0,Premium,Mid-Market,0.2422480620155038,0.7577519379844961,864,0.0227272727272727,1.0,Dataset1_Kaggle_Style,2051968
84,Hyundai,Tucson,2005,19,20486,1078.2105263157894,1.2,Petrol,Manual,Poor,1,4,Brown,Convertible,0,29.2,6384,6384.0,Budget,Budget,0.8561643835616438,0.1438356164383561,552,0.0203389830508474,1.0,Dataset1_Kaggle_Style,523488
85,Mercedes,S-Class,2021,3,17144,5714.666666666667,2.7,Petrol,Manual,Fair,2,3,Blue,Coupe,1,23.2,41877,41877.0,Premium,Luxury,0.1253211354094868,0.8746788645905131,1637,0.0627906976744186,1.0,Dataset1_Kaggle_Style,3433914
86,Audi,Q5,2010,14,38955,2782.5,1.8,Petrol,Manual,Good,3,1,Silver,Sedan,1,28.8,25501,25501.0,Premium,Mid-Market,0.523354703650399,0.4766452963496009,882,0.0333333333333333,1.0,Dataset1_Kaggle_Style,2091082
87,Hyundai,Genesis,2006,18,1200,66.66666666666667,4.0,Petrol,Automatic,Good,3,0,Black,Coupe,0,18.0,23012,23012.0,Mid-Range,Mid-Market,0.6100454144919678,0.3899545855080322,720,0.0689655172413793,1.0,Dataset1_Kaggle_Style,1886984
88,Nissan,Altima,2021,3,4157,1385.6666666666667,2.4,Diesel,Automatic,Fair,2,4,Silver,Convertible,0,37.2,25519,25519.0,Premium,Mid-Market,0.1903613693327833,0.8096386306672166,1060,0.055813953488372,1.0,Dataset1_Kaggle_Style,2092558
89,Ford,Escape,2010,14,27061,1932.9285714285716,2.0,Petrol,Manual,Good,3,5,Silver,Convertible,0,30.0,14302,14302.0,Mid-Range,Economy,0.6619072384284431,0.3380927615715569,600,0.037037037037037,1.0,Dataset1_Kaggle_Style,1172764
90,Audi,Q5,2018,6,143158,23859.666666666668,1.0,Petrol,Manual,Good,3,5,Silver,Wagon,1,33.0,18480,18480.0,Mid-Range,Economy,0.3937007874015747,0.6062992125984252,1134,0.0217391304347826,1.0,Dataset1_Kaggle_Style,1515360
91,BMW,3 Series,2022,2,63918,31959.0,2.0,Petrol,Automatic,Good,3,0,Silver,Convertible,1,37.0,66013,66013.0,Luxury,Luxury,0.0571322468684387,0.9428677531315612,1620,0.0476190476190476,1.0,Dataset1_Kaggle_Style,5413066
92,Chevrolet,Silverado,2010,14,4612,329.42857142857144,4.0,Petrol,Automatic,Fair,2,0,Red,SUV,0,19.0,21483,21483.0,Mid-Range,Mid-Market,0.565850898288301,0.4341491017116989,720,0.074074074074074,1.0,Dataset1_Kaggle_Style,1761606
93,Toyota,Corolla,2014,10,93643,9364.3,2.4,Petrol,Automatic,Good,3,0,Green,Sedan,0,36.4,18949,18949.0,Mid-Range,Economy,0.5134920023620633,0.4865079976379367,624,0.048,1.0,Dataset1_Kaggle_Style,1553818
94,Chevrolet,Traverse,2022,2,65894,32947.0,1.6,Petrol,Automatic,Good,3,2,White,Convertible,0,40.6,24926,24926.0,Mid-Range,Mid-Market,0.1382838968402129,0.8617161031597871,1036,0.0380952380952381,1.0,Dataset1_Kaggle_Style,2043932
95,Mercedes,E-Class,2013,11,47201,4291.0,2.7,Petrol,Automatic,Fair,2,3,Green,Wagon,1,23.2,26066,26066.0,Premium,Mid-Market,0.4577039903466068,0.5422960096533932,963,0.0529411764705882,1.0,Dataset1_Kaggle_Style,2137412
96,Ford,F-150,2012,12,85821,7151.75,2.7,Petrol,Manual,Fair,2,5,Green,Sedan,0,22.2,9367,9367.0,Budget,Budget,0.7192735337309317,0.2807264662690683,642,0.0519230769230769,1.0,Dataset1_Kaggle_Style,768094
97,Nissan,Altima,2014,10,25884,2588.4,2.4,Hybrid,Automatic,Fair,2,5,Gray,Wagon,0,44.8,14946,14946.0,Mid-Range,Economy,0.5723115664167573,0.4276884335832427,624,0.048,1.0,Dataset1_Kaggle_Style,1225572
98,Audi,A4,2021,3,12519,4173.0,4.0,Petrol,Automatic,Excellent,4,3,Silver,SUV,1,25.0,78734,78734.0,Luxury,Luxury,0.0708098284041824,0.9291901715958176,1836,0.0930232558139534,1.0,Dataset1_Kaggle_Style,6456188
99,Toyota,Corolla,2010,14,35874,2562.428571428572,1.2,Petrol,Automatic,Good,3,1,Black,Sedan,0,38.2,16120,16120.0,Mid-Range,Economy,0.6346328195829556,0.3653671804170444,552,0.0222222222222222,1.0,Dataset1_Kaggle_Style,1321840
100,Honda,Pilot,2018,6,39796,6632.666666666667,2.0,Petrol,Manual,Good,3,5,Gray,Hatchback,0,32.0,14201,14201.0,Mid-Range,Economy,0.4579977863440326,0.5420022136559673,840,0.0434782608695652,1.0,Dataset1_Kaggle_Style,1164482
101,BMW,X1,2010,14,38644,2760.285714285714,2.0,Diesel,Manual,Good,3,4,Brown,SUV,1,37.0,30111,30111.0,Premium,Luxury,0.4818364853470083,0.5181635146529917,900,0.037037037037037,1.0,Dataset1_Kaggle_Style,2469102
102,Toyota,Camry,2011,13,41628,3202.153846153846,5.0,Diesel,Manual,Fair,2,1,Black,SUV,0,38.0,25360,25360.0,Premium,Mid-Market,0.5062305295950156,0.4937694704049844,780,0.0943396226415094,1.0,Dataset1_Kaggle_Style,2079520
103,Ford,Edge,2016,8,148508,18563.5,5.0,Petrol,Automatic,Fair,2,4,Black,Coupe,0,26.0,17527,17527.0,Mid-Range,Economy,0.4772273093327766,0.5227726906672234,936,0.1041666666666666,1.0,Dataset1_Kaggle_Style,1437214
