brand,model,fuel_type,transmission,condition,color,body_type,year,age,mileage,mileage_per_year,engine_size,owner_count,price_local
22,21,4,1,1,5,1,2006,18,44490,2471.6666666666665,3.0,2,14795.0
1,152,4,1,0,4,5,2022,2,37976,18988.0,3.0,1,79895.0
5,14,2,0,0,5,1,2008,16,15488,968.0,5.0,5,39647.0
5,14,4,0,2,7,0,2012,12,114856,9571.333333333334,3.5,1,25953.0
3,140,4,1,0,7,3,2018,6,131116,21852.666666666668,2.0,5,10644.0
0,110,4,1,3,5,5,2016,8,25759,3219.875,1.2,1,25516.0
14,62,4,1,2,5,7,2022,2,110501,55250.5,1.2,2,33480.0
6,67,4,1,0,2,1,2015,9,24221,2691.222222222222,4.0,5,23289.0
0,7,4,1,0,6,0,2012,12,66745,5562.083333333333,1.6,1,37411.0
5,58,4,0,2,5,7,2006,18,32307,1794.8333333333333,3.0,4,14773.0
0,9,4,0,0,0,0,2019,5,6538,1307.6,1.4,3,60840.0
6,128,1,1,2,5,0,2013,11,131508,11955.272727272728,2.0,3,14428.0
6,13,1,1,2,1,3,2023,1,30265,30265.0,1.2,5,14742.0
20,30,4,0,0,5,5,2012,12,66304,5525.333333333333,1.0,3,18132.0
14,26,4,0,2,7,1,2023,1,22877,22877.0,5.0,3,72151.0
0,8,4,1,1,7,5,2009,15,953,63.53333333333333,1.8,4,23554.0
0,111,4,0,2,4,0,2015,9,5297,588.5555555555555,2.7,0,59319.0
4,55,4,0,2,2,3,2019,5,34280,6856.0,3.5,1,23418.0
0,111,4,0,2,1,7,2012,12,58553,4879.416666666667,3.5,5,28388.0
4,55,2,0,1,0,3,2023,1,20378,20378.0,1.2,3,17979.0
15,131,4,0,1,5,0,2012,12,59452,4954.333333333333,3.5,1,22027.0
14,43,2,0,1,5,5,2023,1,59971,59971.0,3.0,1,70042.0
6,128,4,0,2,1,7,2022,2,60858,30429.0,5.0,4,24225.0
14,26,4,1,0,4,5,2014,10,33915,3391.5,2.7,1,66467.0
0,114,4,0,2,6,3,2011,13,123188,9476.0,1.4,3,17542.0
5,36,4,1,1,2,7,2013,11,33588,3053.454545454545,1.0,5,9904.0
14,124,4,1,0,2,6,2005,19,29915,1574.4736842105262,1.6,1,27382.0
0,7,4,0,2,6,3,2023,1,11118,11118.0,2.7,4,44670.0
4,59,2,0,1,4,7,2009,15,18383,1225.5333333333333,1.4,5,10618.0
0,110,4,0,2,0,3,2023,1,2162,2162.0,3.5,5,44478.0
4,55,4,1,2,5,1,2005,19,50192,2641.684210526316,5.0,5,14791.0
4,98,1,0,2,5,3,2019,5,14286,2857.2,1.2,3,15100.0
4,55,1,0,0,5,6,2020,4,18131,4532.75,2.4,4,22069.0
15,131,1,1,2,4,7,2011,13,73661,5666.2307692307695,1.6,2,11010.0
14,124,4,0,0,7,7,2016,8,19816,2477.0,2.0,0,55824.0
14,63,4,0,1,3,3,2012,12,13866,1155.5,1.8,1,30048.0
6,134,4,1,1,6,5,2009,15,9259,617.2666666666667,1.2,1,11811.0
22,21,4,1,2,4,1,2014,10,74551,7455.1,3.5,1,29149.0
4,55,4,0,2,3,1,2009,15,6946,463.06666666666666,1.2,2,13139.0
3,41,4,0,2,2,3,2021,3,30234,10078.0,3.0,5,17118.0
3,140,3,1,0,1,1,2009,15,35355,2357.0,4.0,5,19198.0
15,90,3,0,0,3,1,2019,5,58139,11627.8,3.5,0,40499.0
3,41,4,1,2,7,3,2017,7,50158,7165.428571428572,1.2,4,10075.0
14,63,4,0,1,2,6,2005,19,83226,4380.315789473684,2.7,2,19463.0
4,47,4,0,3,7,7,2015,9,2289,254.33333333333331,2.7,2,11342.0
5,14,4,1,2,2,3,2005,19,17580,925.2631578947368,1.0,3,8638.0
6,13,4,0,2,6,5,2015,9,16434,1826.0,1.0,5,15872.0
1,154,3,0,2,5,0,2022,2,7892,3946.0,1.6,2,71478.0
3,140,4,0,2,0,6,2022,2,17066,8533.0,1.2,2,19950.0
22,21,4,0,2,3,3,2020,4,18536,4634.0,5.0,1,38494.0
6,67,4,0,1,2,6,2017,7,36895,5270.714285714285,1.0,5,11717.0
20,30,2,0,1,2,0,2011,13,54488,4191.384615384615,3.0,3,24215.0
6,146,3,1,2,4,1,2005,19,23990,1262.6315789473683,1.4,4,10596.0
6,128,1,0,2,4,1,2020,4,63553,15888.25,1.0,0,25024.0
6,146,4,1,3,2,0,2005,19,20486,1078.2105263157894,1.2,4,6384.0
14,124,4,1,1,1,1,2021,3,17144,5714.666666666667,2.7,3,41877.0
0,111,4,1,2,6,6,2010,14,38955,2782.5,1.8,1,25501.0
6,67,4,0,2,0,1,2006,18,1200,66.66666666666667,4.0,0,23012.0
15,15,1,0,1,6,0,2021,3,4157,1385.6666666666667,2.4,4,25519.0
4,52,4,1,2,6,0,2010,14,27061,1932.9285714285716,2.0,5,14302.0
0,111,4,1,2,6,7,2018,6,143158,23859.666666666668,1.0,5,18480.0
1,1,4,0,2,6,0,2022,2,63918,31959.0,2.0,0,66013.0
3,133,4,0,1,5,5,2010,14,4612,329.42857142857144,4.0,0,21483.0
20,37,4,0,2,4,6,2014,10,93643,9364.3,2.4,0,18949.0
3,145,4,0,2,7,0,2022,2,65894,32947.0,1.6,2,24926.0
14,43,4,0,1,4,7,2013,11,47201,4291.0,2.7,3,26066.0
4,55,4,1,1,4,6,2012,12,85821,7151.75,2.7,5,9367.0
15,15,3,0,1,3,7,2014,10,25884,2588.4,2.4,5,14946.0
0,8,4,0,0,6,5,2021,3,12519,4173.0,4.0,3,78734.0
20,37,4,0,2,0,6,2010,14,35874,2562.428571428572,1.2,1,16120.0
5,105,4,1,2,3,3,2018,6,39796,6632.666666666667,2.0,5,14201.0
1,152,1,1,2,2,5,2010,14,38644,2760.285714285714,2.0,4,30111.0
20,30,1,1,1,0,5,2011,13,41628,3202.153846153846,5.0,1,25360.0
4,47,4,0,1,0,1,2016,8,148508,18563.5,5.0,4,17527.0
5,58,4,0,2,7,0,2007,17,116264,6839.058823529412,2.4,0,17277.0
22,23,2,1,0,7,5,2018,6,104259,17376.5,2.0,5,31767.0
14,62,1,0,0,0,6,2023,1,80827,80827.0,1.2,4,45071.0
14,63,4,0,2,5,3,2020,4,143612,35903.0,2.7,4,31584.0
0,111,4,0,0,7,6,2011,13,5184,398.7692307692308,1.6,0,44352.0
20,132,4,0,2,7,6,2012,12,15402,1283.5,3.0,1,23347.0
0,7,1,0,2,5,3,2022,2,34165,17082.5,2.7,4,40775.0
3,49,4,0,1,6,7,2017,7,93713,13387.57142857143,1.4,5,8974.0
1,3,4,0,0,7,1,2013,11,35176,3197.818181818182,1.4,1,46790.0
20,30,4,0,2,3,0,2014,10,68923,6892.3,2.7,1,27323.0
1,152,4,1,1,0,5,2013,11,7480,680.0,1.2,3,27997.0
4,59,1,0,2,0,0,2019,5,14545,2909.0,3.0,5,27113.0
3,89,3,1,0,5,1,2006,18,65796,3655.3333333333335,1.6,5,10146.0
22,143,4,1,0,0,7,2017,7,9000,1285.7142857142858,2.0,0,31634.0
4,59,1,1,1,4,3,2006,18,21643,1202.388888888889,1.4,0,6970.0
14,62,4,0,1,2,0,2023,1,15385,15385.0,1.4,2,56791.0
6,48,3,0,1,1,6,2006,18,21528,1196.0,1.4,5,8324.0
0,9,1,1,0,2,5,2007,17,61605,3623.823529411765,4.0,1,45734.0
0,8,2,0,1,0,5,2010,14,22931,1637.928571428571,3.5,2,45112.0
6,48,2,0,2,5,7,2007,17,40513,2383.1176470588234,5.0,5,21316.0
5,122,4,0,2,2,1,2014,10,5264,526.4,5.0,0,37168.0
22,143,1,1,3,5,1,2010,14,81742,5838.714285714285,1.2,0,9745.0
14,62,4,1,2,5,3,2020,4,23092,5773.0,2.7,5,37710.0
22,81,4,0,1,4,1,2021,3,52282,17427.333333333332,3.0,2,26977.0
3,145,4,0,1,2,0,2023,1,64620,64620.0,2.7,0,25364.0
20,37,4,0,2,3,5,2007,17,11764,692.0,3.5,0,27857.0
20,132,1,0,2,1,3,2022,2,108000,54000.0,1.4,3,19951.0
15,90,4,0,2,4,1,2011,13,47884,3683.3846153846152,2.4,4,17587.0
14,26,3,1,1,2,6,2013,11,27994,2544.909090909091,4.0,5,30950.0
6,146,1,0,2,7,5,2016,8,10065,1258.125,3.5,3,28973.0
4,54,1,0,1,6,3,2009,15,142625,9508.333333333334,1.2,4,4533.0
3,140,4,1,0,0,5,2007,17,70338,4137.529411764706,1.6,5,10575.0
0,8,4,1,2,3,0,2015,9,11661,1295.6666666666667,5.0,3,58203.0
0,114,4,0,2,7,7,2008,16,20602,1287.625,2.0,3,25637.0
20,75,4,0,2,5,1,2009,15,82950,5530.0,4.0,5,18956.0
1,154,1,1,1,7,7,2005,19,59483,3130.684210526316,1.8,1,16034.0
4,47,1,1,0,4,1,2022,2,72575,36287.5,3.0,2,28466.0
6,146,4,1,2,7,1,2016,8,29098,3637.25,3.5,5,19305.0
6,13,1,0,2,1,6,2017,7,63022,9003.142857142857,1.6,3,14968.0
5,122,4,0,2,5,0,2013,11,24428,2220.7272727272725,1.8,1,30902.0
5,14,4,0,2,3,6,2006,18,11866,659.2222222222222,1.6,3,13478.0
1,153,4,0,1,2,0,2009,15,50075,3338.333333333333,2.7,2,33074.0
6,128,4,0,2,3,0,2017,7,186514,26644.85714285714,2.7,1,20075.0
20,75,1,1,2,5,0,2020,4,18596,4649.0,1.4,5,25698.0
20,132,1,0,2,0,1,2020,4,30899,7724.75,1.0,4,23646.0
15,104,1,1,2,2,1,2007,17,56043,3296.6470588235293,2.0,2,13960.0
0,111,4,1,2,3,1,2008,16,38990,2436.875,1.2,0,26782.0
20,30,4,1,2,3,6,2015,9,92711,10301.222222222224,1.2,5,12368.0
4,47,4,0,0,0,3,2018,6,71720,11953.333333333334,1.4,5,14533.0
14,124,2,0,0,0,7,2007,17,3003,176.64705882352942,2.7,5,42495.0
1,3,4,0,2,2,0,2020,4,322555,80638.75,1.4,1,22592.0
4,47,4,0,1,4,6,2019,5,69797,13959.4,2.4,0,19363.0
0,111,3,1,0,3,1,2014,10,99719,9971.9,3.5,1,55368.0
5,58,1,0,2,3,7,2013,11,52662,4787.454545454545,3.5,4,21046.0
20,75,1,0,0,3,1,2015,9,96996,10777.333333333334,3.0,1,33218.0
20,107,2,1,3,0,3,2020,4,5960,1490.0,2.7,5,14428.0
4,59,4,0,1,3,1,2014,10,21365,2136.5,1.0,3,12408.0
4,55,4,0,2,7,0,2021,3,104543,34847.666666666664,2.4,0,25779.0
20,75,4,1,2,7,5,2023,1,11260,11260.0,2.4,0,34356.0
15,144,4,1,1,0,7,2006,18,4073,226.27777777777777,2.7,1,11930.0
4,59,4,0,0,0,1,2006,18,77586,4310.333333333333,3.5,3,18097.0
6,13,4,1,3,0,3,2010,14,90238,6445.571428571428,1.8,3,5028.0
0,7,1,0,2,6,7,2023,1,8875,8875.0,3.5,1,58528.0
20,132,4,0,0,2,5,2012,12,96326,8027.166666666667,3.0,2,30282.0
15,123,4,0,2,0,7,2007,17,58040,3414.1176470588234,3.0,4,13312.0
20,75,1,1,2,4,0,2018,6,36707,6117.833333333333,2.7,1,36195.0
15,15,4,0,3,6,0,2020,4,88671,22167.75,2.0,5,13558.0
4,52,1,0,1,0,0,2005,19,27171,1430.0526315789473,2.0,3,10641.0
6,134,2,0,2,5,3,2007,17,10783,634.2941176470588,1.0,4,10811.0
1,2,1,0,2,1,5,2022,2,16763,8381.5,2.0,1,61962.0
4,47,4,0,1,3,0,2013,11,35176,3197.818181818182,1.6,4,13402.0
0,9,3,0,2,3,1,2010,14,37892,2706.5714285714284,1.6,2,32365.0
1,2,4,0,2,7,5,2005,19,81886,4309.789473684211,1.2,3,18364.0
22,103,1,0,2,5,0,2014,10,78355,7835.5,4.0,2,33354.0
22,81,4,0,2,1,5,2010,14,43537,3109.785714285714,1.6,2,19275.0
0,8,4,0,1,3,7,2016,8,75885,9485.625,1.8,3,22564.0
6,146,2,0,2,3,1,2008,16,10645,665.3125,5.0,5,27086.0
1,152,4,0,2,6,6,2017,7,2568,366.8571428571428,1.8,2,43448.0
22,103,1,1,1,7,0,2021,3,103428,34476.0,1.8,1,25993.0
4,52,4,0,0,6,1,2012,12,3928,327.3333333333333,1.6,1,22953.0
6,13,1,1,2,4,3,2007,17,14163,833.1176470588235,1.0,4,8515.0
22,81,2,0,1,4,7,2016,8,59424,7428.0,3.5,1,30571.0
3,41,4,1,2,6,0,2011,13,26334,2025.692307692308,2.7,1,20550.0
3,133,4,0,2,7,6,2016,8,104500,13062.5,1.4,4,12268.0
0,110,1,0,2,1,7,2006,18,17689,982.7222222222222,1.2,0,22988.0
4,59,3,0,1,7,1,2018,6,597,99.5,3.0,3,19566.0
5,14,4,0,2,0,7,2009,15,17880,1192.0,2.4,1,17157.0
14,124,1,1,0,2,1,2013,11,43146,3922.363636363637,3.0,4,53799.0
4,55,4,0,0,6,5,2015,9,23575,2619.4444444444443,1.2,2,21234.0
22,23,4,0,1,0,0,2009,15,38272,2551.4666666666667,3.0,2,20904.0
1,2,4,0,2,7,6,2007,17,104615,6153.823529411765,3.5,5,24516.0
22,23,1,1,1,7,3,2021,3,121797,40599.0,3.0,1,20307.0
20,75,3,1,2,3,5,2006,18,15460,858.8888888888889,4.0,3,24201.0
22,23,4,0,2,4,0,2005,19,31007,1631.9473684210527,3.0,4,21009.0
1,153,4,1,1,1,6,2011,13,39830,3063.846153846154,3.5,5,24428.0
15,15,1,1,0,6,5,2018,6,148906,24817.666666666668,3.5,5,23866.0
0,7,4,1,0,4,6,2009,15,329186,21945.733333333334,1.6,4,1029.0
15,104,3,0,2,5,7,2023,1,13420,13420.0,3.5,4,28034.0
1,152,4,1,0,7,6,2015,9,64910,7212.222222222223,1.4,4,30353.0
3,140,4,0,2,3,5,2006,18,23743,1319.0555555555557,2.0,4,12340.0
4,59,4,0,3,5,5,2012,12,407,33.916666666666664,1.4,3,10050.0
5,105,3,0,1,6,0,2013,11,464,42.18181818181818,4.0,4,28386.0
22,23,2,0,2,0,5,2007,17,30861,1815.3529411764705,3.0,3,26947.0
4,55,4,0,1,2,7,2006,18,33504,1861.3333333333333,1.4,3,7090.0
0,111,4,1,0,2,0,2011,13,1141,87.76923076923077,1.2,3,40979.0
22,103,4,1,2,2,6,2009,15,58066,3871.0666666666666,2.7,2,16506.0
15,131,1,1,2,6,5,2009,15,17407,1160.4666666666667,2.0,0,17379.0
15,144,1,0,2,4,0,2017,7,41036,5862.285714285715,2.7,5,24828.0
14,26,2,0,0,1,0,2010,14,17899,1278.5,2.4,1,83912.0
15,15,1,0,1,5,3,2022,2,9144,4572.0,1.4,2,17782.0
22,103,3,0,1,3,0,2006,18,26142,1452.3333333333333,2.7,0,24305.0
20,37,4,1,2,4,0,2010,14,13216,944.0,3.5,5,22065.0
1,1,4,0,0,5,3,2013,11,38264,3478.5454545454545,1.0,2,32005.0
0,7,1,1,2,0,1,2007,17,11084,652.0,1.0,5,20267.0
15,15,4,0,1,4,7,2005,19,35505,1868.684210526316,3.5,3,10744.0
14,5,4,1,2,3,5,2005,19,8561,450.578947368421,2.7,3,30586.0
1,152,4,0,2,0,3,2023,1,55581,55581.0,3.0,4,42334.0
14,63,4,0,1,7,0,2009,15,70108,4673.866666666667,3.5,3,33012.0
22,143,4,1,2,4,0,2017,7,5848,835.4285714285714,2.0,2,30714.0
15,144,4,0,2,6,5,2023,1,31537,31537.0,1.8,5,22709.0
6,13,4,0,2,4,7,2016,8,3675,459.375,1.2,1,16973.0
15,15,4,0,2,4,6,2020,4,45587,11396.75,4.0,5,23596.0
3,41,4,0,2,1,3,2023,1,15353,15353.0,3.0,3,20569.0
22,103,1,0,2,7,1,2007,17,37499,2205.823529411765,2.0,5,17324.0
15,104,4,0,2,2,5,2016,8,36434,4554.25,2.7,0,26952.0
20,132,1,0,2,6,5,2009,15,129084,8605.6,3.0,5,15773.0
15,131,1,0,0,0,3,2006,18,39823,2212.3888888888887,3.0,2,16072.0
22,23,1,0,2,1,0,2011,13,43733,3364.076923076923,2.7,0,34516.0
15,104,1,0,2,0,0,2017,7,25679,3668.428571428572,5.0,4,33208.0
5,105,4,0,1,3,1,2019,5,148874,29774.8,3.5,4,19841.0
22,103,4,1,2,0,3,2007,17,75070,4415.882352941177,2.7,5,11599.0
4,52,1,0,2,2,5,2009,15,16801,1120.0666666666666,1.4,1,16440.0
20,107,4,0,2,5,3,2012,12,92962,7746.833333333333,1.4,2,13362.0
3,49,4,1,2,6,6,2005,19,28316,1490.3157894736842,1.2,1,9490.0
20,75,4,0,2,7,5,2012,12,88207,7350.583333333333,1.0,0,16872.0
3,145,3,1,1,4,1,2022,2,86548,43274.0,1.6,1,18454.0
5,28,4,0,2,5,1,2020,4,10466,2616.5,1.2,0,32384.0
20,30,4,0,1,2,5,2022,2,60389,30194.5,1.2,1,24439.0
4,54,2,0,0,3,0,2016,8,17169,2146.125,4.0,4,42558.0
15,104,1,0,0,6,5,2017,7,17654,2522.0,4.0,2,38396.0
4,55,4,0,1,3,5,2017,7,17573,2510.428571428572,1.8,1,17359.0
20,37,3,1,2,2,6,2014,10,64652,6465.2,1.6,5,15302.0
5,58,4,0,2,6,5,2011,13,13056,1004.3076923076924,1.0,0,21098.0
4,52,1,0,2,6,7,2018,6,45,7.5,3.0,5,19515.0
4,55,4,0,0,1,7,2020,4,62804,15701.0,1.6,2,22248.0
22,70,4,0,2,5,3,2019,5,9387,1877.4,1.8,5,22681.0
22,103,1,0,1,2,3,2016,8,5517,689.625,2.4,4,17500.0
22,23,4,0,0,7,1,2013,11,13558,1232.5454545454545,1.2,4,24672.0
5,28,4,0,1,5,0,2012,12,23893,1991.0833333333333,2.7,3,21014.0
6,128,1,0,2,3,1,2022,2,32304,16152.0,4.0,2,33439.0
22,70,4,1,2,0,6,2022,2,2279,1139.5,1.2,1,26650.0
5,58,2,0,0,3,5,2017,7,176292,25184.571428571428,4.0,4,36480.0
0,114,4,0,2,6,1,2022,2,62950,31475.0,3.5,1,61855.0
6,13,4,0,0,0,5,2019,5,19518,3903.6,1.8,1,30824.0
6,128,1,0,0,5,1,2008,16,19187,1199.1875,5.0,0,33343.0
22,70,4,0,3,7,5,2021,3,29759,9919.666666666666,1.2,5,13650.0
6,146,4,0,1,0,1,2009,15,49207,3280.4666666666667,1.2,1,10120.0
20,119,4,0,1,0,7,2020,4,7913,1978.25,1.6,3,18912.0
3,49,2,0,0,4,7,2013,11,10470,951.818181818182,1.6,2,21457.0
20,132,4,0,1,2,7,2014,10,98104,9810.4,2.7,2,14803.0
15,104,4,0,2,1,3,2022,2,14802,7401.0,2.0,0,25563.0
20,107,4,0,1,5,6,2021,3,23917,7972.333333333333,3.5,3,21488.0
14,26,4,0,0,0,1,2022,2,102502,51251.0,2.7,5,50428.0
4,55,4,1,2,5,3,2011,13,54405,4185.0,2.4,3,10810.0
20,30,1,0,3,7,0,2008,16,20905,1306.5625,3.5,2,17128.0
3,133,2,1,2,0,1,2009,15,57553,3836.866666666667,1.6,3,15645.0
1,152,4,1,1,2,5,2020,4,993,248.25,1.2,5,31955.0
4,55,4,0,2,7,6,2007,17,66522,3913.058823529412,3.0,4,11802.0
3,145,2,0,2,3,3,2022,2,33375,16687.5,1.2,1,25364.0
6,146,4,1,1,0,3,2018,6,83881,13980.166666666666,1.0,1,10497.0
6,128,4,0,2,2,6,2019,5,154653,30930.6,2.7,2,17331.0
3,89,3,0,1,4,1,2021,3,130041,43347.0,3.5,2,19509.0
22,70,1,0,2,6,5,2005,19,119990,6315.263157894737,3.0,5,14951.0
15,123,4,1,0,1,0,2021,3,35889,11963.0,1.0,3,28740.0
6,128,4,0,2,2,1,2015,9,22325,2480.555555555556,2.4,5,18731.0
15,104,4,0,2,1,6,2021,3,31277,10425.666666666666,1.2,0,21158.0
15,15,4,0,1,2,1,2018,6,58542,9757.0,2.0,2,20290.0
14,5,1,0,2,1,1,2023,1,107707,107707.0,4.0,2,64719.0
15,131,4,0,2,7,6,2011,13,11595,891.9230769230769,1.8,2,15098.0
22,23,1,0,1,5,6,2017,7,125169,17881.285714285714,1.0,5,11884.0
22,70,4,1,2,4,0,2022,2,84418,42209.0,1.2,5,20878.0
4,98,4,0,1,1,6,2018,6,192819,32136.5,1.2,3,7691.0
5,105,4,0,3,2,6,2005,19,106118,5585.1578947368425,3.5,4,7355.0
6,134,1,0,0,2,6,2011,13,16420,1263.076923076923,3.5,2,25297.0
22,21,1,0,0,2,3,2012,12,5600,466.6666666666667,2.0,4,22748.0
20,107,4,0,0,3,6,2022,2,5952,2976.0,4.0,5,32410.0
1,3,4,0,1,2,6,2013,11,17210,1564.5454545454545,5.0,3,39193.0
0,9,1,1,0,2,6,2005,19,47619,2506.2631578947367,1.0,5,15499.0
6,134,4,0,1,0,0,2021,3,81563,27187.666666666668,4.0,0,28417.0
22,103,4,0,2,0,1,2023,1,114755,114755.0,1.6,1,31915.0
15,90,4,0,1,6,6,2010,14,48875,3491.0714285714284,5.0,1,17135.0
15,144,4,0,1,2,6,2007,17,282,16.58823529411765,3.5,5,12739.0
4,98,1,1,3,7,0,2009,15,10309,687.2666666666667,4.0,1,14901.0
20,132,4,0,2,0,1,2006,18,5252,291.77777777777777,1.8,1,19400.0
3,133,1,0,2,0,0,2008,16,22574,1410.875,1.2,3,14527.0
14,26,3,1,0,4,7,2014,10,34792,3479.2,1.2,1,42901.0
3,145,2,1,2,6,5,2014,10,2218,221.8,2.4,3,24457.0
1,154,4,0,2,6,5,2015,9,21422,2380.222222222222,2.4,0,57157.0
4,98,4,0,3,5,5,2020,4,9872,2468.0,2.0,2,14897.0
1,153,4,0,1,5,6,2021,3,52074,17358.0,1.0,2,34808.0
22,103,4,0,0,5,0,2020,4,31206,7801.5,5.0,2,57645.0
4,47,1,0,1,0,6,2011,13,34191,2630.076923076923,5.0,3,17540.0
4,98,3,0,0,6,5,2020,4,27903,6975.75,1.4,3,27139.0
5,105,1,0,0,3,1,2007,17,156200,9188.235294117649,3.0,3,15469.0
22,21,4,0,1,7,1,2020,4,12086,3021.5,3.5,0,34437.0
0,7,4,0,3,5,7,2012,12,36352,3029.333333333333,1.0,4,14463.0
6,48,4,1,0,3,0,2016,8,66593,8324.125,1.2,3,18573.0
4,98,1,0,1,1,7,2007,17,40691,2393.5882352941176,2.7,3,10233.0
6,128,4,0,1,0,1,2021,3,132268,44089.333333333336,2.4,2,18677.0
20,30,4,0,0,7,5,2022,2,23738,11869.0,3.0,5,36595.0
0,8,4,1,2,0,7,2015,9,31150,3461.1111111111118,3.5,1,41996.0
1,152,2,0,1,3,7,2008,16,4634,289.625,5.0,1,46666.0
1,2,1,1,1,5,7,2020,4,46952,11738.0,5.0,0,49628.0
15,144,3,0,2,3,0,2021,3,16998,5666.0,1.6,1,33307.0
15,123,1,0,0,3,0,2013,11,8736,794.1818181818181,1.6,4,25233.0
15,104,4,0,2,4,5,2010,14,39321,2808.6428571428573,2.4,2,18729.0
4,54,4,1,1,0,5,2006,18,37997,2110.9444444444443,1.0,0,8748.0
3,133,4,0,2,5,5,2013,11,3945,358.6363636363636,3.5,1,24296.0
5,36,4,0,0,0,7,2010,14,59902,4278.714285714285,5.0,1,27033.0
20,132,3,0,1,5,5,2007,17,48878,2875.176470588235,3.0,5,14906.0
20,107,4,0,2,4,0,2010,14,10475,748.2142857142857,1.2,2,21038.0
1,3,4,0,1,2,1,2011,13,31690,2437.692307692308,1.0,0,26837.0
4,55,4,0,1,6,5,2005,19,63705,3352.894736842105,2.4,2,9359.0
22,23,4,0,1,6,3,2005,19,37691,1983.7368421052631,2.0,0,11578.0
0,114,1,0,3,4,0,2009,15,25166,1677.7333333333331,5.0,1,36668.0
15,131,4,1,3,4,6,2010,14,19455,1389.642857142857,1.4,2,7737.0
3,49,4,0,2,4,1,2017,7,47130,6732.857142857143,1.0,2,18171.0
0,9,4,0,1,2,0,2006,18,139933,7774.055555555556,5.0,4,25338.0
5,105,4,0,2,4,5,2019,5,55698,11139.6,1.8,5,22494.0
15,15,4,1,2,6,7,2019,5,3884,776.8,3.5,2,24140.0
3,89,4,0,0,6,3,2017,7,30872,4410.285714285715,1.6,0,19118.0
1,1,3,0,2,4,6,2018,6,110739,18456.5,1.8,4,31674.0
6,48,4,0,0,6,1,2011,13,4961,381.61538461538464,1.0,2,20842.0
15,104,4,0,2,1,5,2018,6,224931,37488.5,1.0,2,12148.0
4,98,1,1,0,0,0,2014,10,148864,14886.4,1.8,4,15072.0
1,2,4,1,1,3,0,2021,3,4075,1358.3333333333333,2.0,1,48113.0
4,98,4,0,2,4,1,2018,6,135462,22577.0,1.8,2,17448.0
6,134,2,0,0,6,3,2012,12,22559,1879.9166666666667,1.2,3,18459.0
22,23,1,1,2,1,7,2008,16,93122,5820.125,3.0,5,12967.0
5,28,1,1,0,4,5,2020,4,27097,6774.25,1.8,1,34626.0
15,15,4,0,1,1,1,2017,7,29067,4152.428571428572,4.0,2,24055.0
1,1,4,1,2,0,1,2022,2,50289,25144.5,4.0,1,66995.0
5,36,4,0,2,2,0,2018,6,74466,12411.0,1.8,0,30620.0
15,131,4,0,1,0,1,2022,2,1718,859.0,3.5,1,30808.0
6,67,2,0,2,5,6,2009,15,44966,2997.733333333333,3.0,4,18230.0
20,107,4,1,1,5,6,2013,11,10334,939.4545454545456,1.4,2,15120.0
