brand,model,year,age,mileage,mileage_per_year,engine_size,fuel_type,transmission,condition,condition_score,owner_count,color,body_type,is_luxury,mpg_estimate,price_usd,price_local,price_category,market_segment,depreciation_rate,value_retention,insurance_estimate,power_to_weight_ratio,regional_factor,source
Hyundai,Sonata,2015,9,3324,369.3333333333333,1.4,Petrol,Manual,Fair,2,2,Black,Coupe,0,39.4,14683,14683.0,Mid-Range,Economy,0.5507450356454426,0.44925496435455736,620,0.02857142857142857,1.0,Dataset1_Kaggle_Style
Nissan,Sentra,2021,3,25739,8579.666666666666,1.6,Petrol,Automatic,Good,3,3,Brown,Convertible,0,34.6,27094,27094.0,Premium,Mid-Market,0.1813017465401583,0.8186982534598417,979,0.037209302325581395,1.0,Dataset1_Kaggle_Style
Chevrolet,Traverse,2014,10,1186,118.6,2.0,Electric,Automatic,Good,3,0,Gray,SUV,0,105.0,31051,31051.0,Premium,Mid-Market,0.3917650976474506,0.6082349023525494,600,0.04,1.0,Dataset1_Kaggle_Style
Mercedes,GLC,2016,8,19980,2497.5,4.0,Petrol,Manual,Excellent,4,1,Black,Hatchback,1,17.0,55791,55791.0,Luxury,Luxury,0.22286916187265815,0.7771308381273418,1296,0.08333333333333333,1.0,Dataset1_Kaggle_Style
Audi,Q5,2021,3,38487,12829.0,2.4,Diesel,Automatic,Good,3,5,White,Sedan,1,43.2,39877,39877.0,Premium,Luxury,0.13078448895960937,0.8692155110403906,1591,0.05581395348837209,1.0,Dataset1_Kaggle_Style
Toyota,Highlander,2008,16,120840,7552.5,1.6,Petrol,Automatic,Good,3,1,White,Wagon,0,39.6,10457,10457.0,Mid-Range,Economy,0.7537037473208187,0.24629625267918132,576,0.02857142857142857,1.0,Dataset1_Kaggle_Style
Honda,Pilot,2006,18,93720,5206.666666666667,3.5,Petrol,Automatic,Good,3,5,Green,Coupe,0,32.0,16186,16186.0,Mid-Range,Economy,0.6898401870233396,0.3101598129766604,690,0.0603448275862069,1.0,Dataset1_Kaggle_Style
Honda,Ridgeline,2015,9,6819,757.6666666666666,4.0,Petrol,Automatic,Poor,1,3,Gray,Convertible,0,21.0,20677,20677.0,Mid-Range,Mid-Market,0.46539286914703826,0.5346071308529617,792,0.08163265306122448,1.0,Dataset1_Kaggle_Style
BMW,7 Series,2011,13,4882,375.53846153846155,3.0,Diesel,Automatic,Excellent,4,3,Silver,Convertible,1,36.0,64145,64145.0,Luxury,Luxury,0.28842420544678016,0.7115757945532198,990,0.05660377358490566,1.0,Dataset1_Kaggle_Style
Volkswagen,Atlas,2006,18,44490,2471.6666666666665,3.0,Petrol,Manual,Fair,2,2,Red,Coupe,0,27.0,14795,14795.0,Mid-Range,Economy,0.7087311743281819,0.2912688256718181,660,0.05172413793103448,1.0,Dataset1_Kaggle_Style
BMW,X1,2022,2,37976,18988.0,3.0,Petrol,Manual,Excellent,4,1,Green,SUV,1,29.0,79895,79895.0,Luxury,Luxury,0.047678645926455654,0.9523213540735443,1782,0.07142857142857142,1.0,Dataset1_Kaggle_Style
Honda,Accord,2008,16,15488,968.0,5.0,Electric,Automatic,Excellent,4,5,Red,Coupe,0,128.0,39647,39647.0,Premium,Mid-Market,0.44663419263891024,0.5533658073610898,780,0.08928571428571429,1.0,Dataset1_Kaggle_Style
Honda,Accord,2012,12,114856,9571.333333333334,3.5,Petrol,Automatic,Good,3,1,White,Convertible,0,24.0,25953,25953.0,Premium,Mid-Market,0.4804516245270555,0.5195483754729445,690,0.0673076923076923,1.0,Dataset1_Kaggle_Style
Chevrolet,Tahoe,2018,6,131116,21852.666666666668,2.0,Petrol,Manual,Excellent,4,5,White,Hatchback,0,28.0,10644,10644.0,Mid-Range,Economy,0.5299417064122947,0.47005829358770534,840,0.043478260869565216,1.0,Dataset1_Kaggle_Style
Audi,Q3,2016,8,25759,3219.875,1.2,Petrol,Manual,Poor,1,1,Red,SUV,1,39.2,25516,25516.0,Premium,Mid-Market,0.3853935831968398,0.6146064168031602,993,0.025,1.0,Dataset1_Kaggle_Style
Mercedes,GLC,2022,2,110501,55250.5,1.2,Petrol,Manual,Good,3,2,Red,Wagon,1,39.2,33480,33480.0,Premium,Luxury,0.10672358591248665,0.8932764140875133,1490,0.02857142857142857,1.0,Dataset1_Kaggle_Style
Hyundai,Genesis,2015,9,24221,2691.222222222222,4.0,Petrol,Manual,Excellent,4,5,Brown,Coupe,0,22.0,23289,23289.0,Mid-Range,Mid-Market,0.43595146407033347,0.5640485359296665,792,0.08163265306122448,1.0,Dataset1_Kaggle_Style
Audi,A3,2012,12,66745,5562.083333333333,1.6,Petrol,Manual,Excellent,4,1,Silver,Convertible,1,36.6,37411,37411.0,Premium,Luxury,0.3908094641025224,0.6091905358974776,864,0.03076923076923077,1.0,Dataset1_Kaggle_Style
Honda,Fit,2006,18,32307,1794.8333333333333,3.0,Petrol,Automatic,Good,3,4,Red,Wagon,0,22.0,14773,14773.0,Mid-Range,Economy,0.7090382683709846,0.2909617316290154,660,0.05172413793103448,1.0,Dataset1_Kaggle_Style
Audi,A6,2019,5,6538,1307.6,1.4,Petrol,Automatic,Excellent,4,3,Black,Convertible,1,34.4,60840,60840.0,Luxury,Luxury,0.1411631846414455,0.8588368153585545,1269,0.03111111111111111,1.0,Dataset1_Kaggle_Style
Hyundai,Santa Fe,2013,11,131508,11955.272727272728,2.0,Diesel,Manual,Good,3,3,Red,Convertible,0,35.0,14428,14428.0,Mid-Range,Economy,0.6039310420555617,0.3960689579444383,600,0.0392156862745098,1.0,Dataset1_Kaggle_Style
Hyundai,Accent,2023,1,30265,30265.0,1.2,Diesel,Manual,Good,3,5,Blue,Hatchback,0,44.6,14742,14742.0,Mid-Range,Economy,0.1194600406164138,0.8805399593835862,1048,0.02926829268292683,1.0,Dataset1_Kaggle_Style
Toyota,Camry,2012,12,66304,5525.333333333333,1.0,Petrol,Automatic,Excellent,4,3,Red,SUV,0,29.0,18132,18132.0,Mid-Range,Economy,0.5696382796923953,0.43036172030760467,540,0.019230769230769232,1.0,Dataset1_Kaggle_Style
Mercedes,C-Class,2023,1,22877,22877.0,5.0,Petrol,Automatic,Good,3,3,White,Coupe,1,14.0,72151,72151.0,Luxury,Luxury,0.026971989588811973,0.973028010411188,2223,0.12195121951219512,1.0,Dataset1_Kaggle_Style
Audi,A4,2009,15,953,63.53333333333333,1.8,Petrol,Manual,Fair,2,4,White,SUV,1,28.8,23554,23554.0,Mid-Range,Mid-Market,0.5601822459573514,0.43981775404264856,882,0.03272727272727273,1.0,Dataset1_Kaggle_Style
Audi,Q5,2015,9,5297,588.5555555555555,2.7,Petrol,Automatic,Good,3,0,Green,Convertible,1,26.2,59319,59319.0,Luxury,Luxury,0.23280176929344665,0.7671982307065534,1059,0.05510204081632653,1.0,Dataset1_Kaggle_Style
Ford,F-150,2019,5,34280,6856.0,3.5,Petrol,Automatic,Good,3,1,Brown,Hatchback,0,33.0,23418,23418.0,Mid-Range,Mid-Market,0.29923993057633613,0.7007600694236639,1035,0.07777777777777778,1.0,Dataset1_Kaggle_Style
Audi,Q5,2012,12,58553,4879.416666666667,3.5,Petrol,Automatic,Good,3,5,Blue,Wagon,1,28.0,28388,28388.0,Premium,Mid-Market,0.4581201801939375,0.5418798198060625,1035,0.0673076923076923,1.0,Dataset1_Kaggle_Style
Ford,F-150,2023,1,20378,20378.0,1.2,Electric,Automatic,Fair,2,3,Black,Hatchback,0,101.0,17979,17979.0,Mid-Range,Economy,0.10010511036588421,0.8998948896341158,1048,0.02926829268292683,1.0,Dataset1_Kaggle_Style
Nissan,Sentra,2012,12,59452,4954.333333333333,3.5,Petrol,Automatic,Fair,2,1,Red,Convertible,0,21.0,22027,22027.0,Mid-Range,Mid-Market,0.5214330718925848,0.4785669281074152,690,0.0673076923076923,1.0,Dataset1_Kaggle_Style
Mercedes,E-Class,2023,1,59971,59971.0,3.0,Electric,Automatic,Fair,2,1,Red,SUV,1,130.0,70042,70042.0,Luxury,Luxury,0.027761583520723998,0.972238416479276,1881,0.07317073170731707,1.0,Dataset1_Kaggle_Style
Hyundai,Santa Fe,2022,2,60858,30429.0,5.0,Petrol,Automatic,Good,3,4,Blue,Wagon,0,13.0,24225,24225.0,Mid-Range,Mid-Market,0.14171833480956597,0.858281665190434,1404,0.11904761904761904,1.0,Dataset1_Kaggle_Style
Mercedes,C-Class,2014,10,33915,3391.5,2.7,Petrol,Manual,Excellent,4,1,Green,SUV,1,31.2,66467,66467.0,Luxury,Luxury,0.23130211525784405,0.768697884742156,963,0.054,1.0,Dataset1_Kaggle_Style
Audi,Q7,2011,13,123188,9476.0,1.4,Petrol,Automatic,Good,3,3,Silver,Hatchback,1,30.4,17542,17542.0,Mid-Range,Economy,0.5971246153139498,0.4028753846860502,846,0.026415094339622643,1.0,Dataset1_Kaggle_Style
Honda,Civic,2013,11,33588,3053.4545454545455,1.0,Petrol,Manual,Fair,2,5,Brown,Wagon,0,38.0,9904,9904.0,Budget,Budget,0.6895687061183551,0.3104312938816449,540,0.0196078431372549,1.0,Dataset1_Kaggle_Style
Mercedes,S-Class,2005,19,29915,1574.4736842105262,1.6,Petrol,Manual,Excellent,4,1,Brown,Sedan,1,29.6,27382,27382.0,Premium,Mid-Market,0.5811997185769784,0.4188002814230216,864,0.02711864406779661,1.0,Dataset1_Kaggle_Style
Audi,A3,2023,1,11118,11118.0,2.7,Petrol,Automatic,Good,3,4,Silver,Hatchback,1,33.2,44670,44670.0,Premium,Luxury,0.042854081851296355,0.9571459181487036,1829,0.06585365853658537,1.0,Dataset1_Kaggle_Style
Ford,Focus,2009,15,18383,1225.5333333333333,1.4,Electric,Automatic,Fair,2,5,Green,Wagon,0,128.0,10618,10618.0,Mid-Range,Economy,0.7385888029937466,0.26141119700625337,564,0.025454545454545455,1.0,Dataset1_Kaggle_Style
Audi,Q3,2023,1,2162,2162.0,3.5,Petrol,Automatic,Good,3,5,Black,Hatchback,1,26.0,44478,44478.0,Premium,Luxury,0.04303111149360983,0.9569688885063902,1966,0.08536585365853659,1.0,Dataset1_Kaggle_Style
Ford,F-150,2005,19,50192,2641.684210526316,5.0,Petrol,Manual,Good,3,5,Red,Coupe,0,21.0,14791,14791.0,Mid-Range,Economy,0.7198196662309864,0.28018033376901363,780,0.0847457627118644,1.0,Dataset1_Kaggle_Style
Ford,Mustang,2019,5,14286,2857.2,1.2,Diesel,Automatic,Good,3,3,Red,Hatchback,0,44.6,15100,15100.0,Mid-Range,Economy,0.398406374501992,0.601593625498008,827,0.02666666666666667,1.0,Dataset1_Kaggle_Style
Ford,F-150,2020,4,18131,4532.75,2.4,Diesel,Automatic,Excellent,4,4,Red,Sedan,0,37.2,22069,22069.0,Mid-Range,Mid-Market,0.266054740762912,0.733945259237088,998,0.05454545454545454,1.0,Dataset1_Kaggle_Style
Nissan,Sentra,2011,13,73661,5666.2307692307695,1.6,Diesel,Manual,Good,3,2,Green,Wagon,0,43.8,11010,11010.0,Mid-Range,Economy,0.7025128343690894,0.2974871656309106,576,0.03018867924528302,1.0,Dataset1_Kaggle_Style
Mercedes,S-Class,2016,8,19816,2477.0,2.0,Petrol,Automatic,Excellent,4,0,White,Wagon,1,28.0,55824,55824.0,Luxury,Luxury,0.22276676319893074,0.7772332368010693,1080,0.041666666666666664,1.0,Dataset1_Kaggle_Style
Mercedes,GLE,2012,12,13866,1155.5,1.8,Petrol,Automatic,Fair,2,1,Gray,Hatchback,1,37.8,30048,30048.0,Premium,Luxury,0.44404973357015987,0.5559502664298401,882,0.03461538461538462,1.0,Dataset1_Kaggle_Style
Hyundai,Sonata,2009,15,9259,617.2666666666667,1.2,Petrol,Manual,Fair,2,1,Silver,SUV,0,37.2,11811,11811.0,Mid-Range,Economy,0.7175145296692258,0.2824854703307742,552,0.02181818181818182,1.0,Dataset1_Kaggle_Style
Volkswagen,Atlas,2014,10,74551,7455.1,3.5,Petrol,Manual,Good,3,1,Green,Coupe,0,27.0,29149,29149.0,Premium,Mid-Market,0.40692587845124006,0.5930741215487599,690,0.07,1.0,Dataset1_Kaggle_Style
Ford,F-150,2009,15,6946,463.06666666666666,1.2,Petrol,Automatic,Good,3,2,Gray,Coupe,0,39.2,13139,13139.0,Mid-Range,Economy,0.695426412295139,0.304573587704861,552,0.02181818181818182,1.0,Dataset1_Kaggle_Style
Chevrolet,Cruze,2021,3,30234,10078.0,3.0,Petrol,Automatic,Good,3,5,Brown,Hatchback,0,22.0,17118,17118.0,Mid-Range,Economy,0.2595380223202699,0.7404619776797301,1122,0.06976744186046512,1.0,Dataset1_Kaggle_Style
Chevrolet,Tahoe,2009,15,35355,2357.0,4.0,Hybrid,Manual,Excellent,4,5,Blue,Coupe,0,45.0,19198,19198.0,Mid-Range,Economy,0.6097808854018456,0.3902191145981544,720,0.07272727272727272,1.0,Dataset1_Kaggle_Style
Nissan,Maxima,2019,5,58139,11627.8,3.5,Hybrid,Automatic,Excellent,4,0,Gray,Coupe,0,35.5,40499,40499.0,Premium,High-End,0.19802372324204442,0.8019762767579556,1035,0.07777777777777778,1.0,Dataset1_Kaggle_Style
Chevrolet,Cruze,2017,7,50158,7165.428571428572,1.2,Petrol,Manual,Good,3,4,White,Hatchback,0,29.2,10075,10075.0,Mid-Range,Economy,0.5815160955347871,0.4184839044652129,717,0.02553191489361702,1.0,Dataset1_Kaggle_Style
Mercedes,GLE,2005,19,83226,4380.315789473684,2.7,Petrol,Automatic,Fair,2,2,Brown,Sedan,1,36.2,19463,19463.0,Mid-Range,Economy,0.6612950942345509,0.3387049057654491,963,0.04576271186440678,1.0,Dataset1_Kaggle_Style
Ford,Edge,2015,9,2289,254.33333333333334,2.7,Petrol,Automatic,Poor,1,2,White,Wagon,0,33.2,11342,11342.0,Mid-Range,Economy,0.6134551155340467,0.38654488446595325,706,0.05510204081632653,1.0,Dataset1_Kaggle_Style
Honda,Accord,2005,19,17580,925.2631578947369,1.0,Petrol,Manual,Good,3,3,Brown,Hatchback,0,36.0,8638,8638.0,Budget,Budget,0.814786225824435,0.18521377417556495,540,0.01694915254237288,1.0,Dataset1_Kaggle_Style
Hyundai,Accent,2015,9,16434,1826.0,1.0,Petrol,Automatic,Good,3,5,Silver,SUV,0,43.0,15872,15872.0,Mid-Range,Economy,0.531412376003779,0.468587623996221,594,0.02040816326530612,1.0,Dataset1_Kaggle_Style
BMW,X5,2022,2,7892,3946.0,1.6,Hybrid,Automatic,Good,3,2,Red,Convertible,1,55.2,71478,71478.0,Luxury,Luxury,0.05299557486949835,0.9470044251305016,1555,0.0380952380952381,1.0,Dataset1_Kaggle_Style
Chevrolet,Tahoe,2022,2,17066,8533.0,1.2,Petrol,Automatic,Good,3,2,Black,Sedan,0,40.2,19950,19950.0,Mid-Range,Economy,0.16701461377870563,0.8329853862212944,993,0.02857142857142857,1.0,Dataset1_Kaggle_Style
Volkswagen,Atlas,2020,4,18536,4634.0,5.0,Petrol,Automatic,Good,3,1,Gray,Hatchback,0,21.0,38494,38494.0,Premium,Mid-Market,0.17206521271561925,0.8279347872843807,1248,0.11363636363636363,1.0,Dataset1_Kaggle_Style
Hyundai,Genesis,2017,7,36895,5270.714285714285,1.0,Petrol,Automatic,Fair,2,5,Brown,Sedan,0,41.0,11717,11717.0,Mid-Range,Economy,0.5443869813741883,0.4556130186258117,701,0.02127659574468085,1.0,Dataset1_Kaggle_Style
Toyota,Camry,2011,13,54488,4191.384615384615,3.0,Electric,Automatic,Fair,2,3,Brown,Convertible,0,126.0,24215,24215.0,Mid-Range,Mid-Market,0.5177735736333765,0.4822264263666235,660,0.05660377358490566,1.0,Dataset1_Kaggle_Style
Hyundai,Tucson,2005,19,23990,1262.6315789473683,1.4,Hybrid,Manual,Good,3,4,Green,Coupe,0,49.8,10596,10596.0,Mid-Range,Economy,0.781957362745905,0.218042637254095,564,0.023728813559322035,1.0,Dataset1_Kaggle_Style
Hyundai,Santa Fe,2020,4,63553,15888.25,1.0,Diesel,Automatic,Good,3,0,Green,Coupe,0,41.0,25024,25024.0,Premium,Mid-Market,0.24224806201550386,0.7577519379844961,864,0.022727272727272728,1.0,Dataset1_Kaggle_Style
Hyundai,Tucson,2005,19,20486,1078.2105263157894,1.2,Petrol,Manual,Poor,1,4,Brown,Convertible,0,29.2,6384,6384.0,Budget,Budget,0.8561643835616438,0.14383561643835618,552,0.020338983050847456,1.0,Dataset1_Kaggle_Style
Mercedes,S-Class,2021,3,17144,5714.666666666667,2.7,Petrol,Manual,Fair,2,3,Blue,Coupe,1,23.2,41877,41877.0,Premium,Luxury,0.12532113540948686,0.8746788645905131,1637,0.06279069767441861,1.0,Dataset1_Kaggle_Style
Audi,Q5,2010,14,38955,2782.5,1.8,Petrol,Manual,Good,3,1,Silver,Sedan,1,28.8,25501,25501.0,Premium,Mid-Market,0.523354703650399,0.47664529634960096,882,0.03333333333333333,1.0,Dataset1_Kaggle_Style
Hyundai,Genesis,2006,18,1200,66.66666666666667,4.0,Petrol,Automatic,Good,3,0,Black,Coupe,0,18.0,23012,23012.0,Mid-Range,Mid-Market,0.6100454144919678,0.3899545855080322,720,0.06896551724137931,1.0,Dataset1_Kaggle_Style
Nissan,Altima,2021,3,4157,1385.6666666666667,2.4,Diesel,Automatic,Fair,2,4,Silver,Convertible,0,37.2,25519,25519.0,Premium,Mid-Market,0.19036136933278336,0.8096386306672166,1060,0.05581395348837209,1.0,Dataset1_Kaggle_Style
Ford,Escape,2010,14,27061,1932.9285714285713,2.0,Petrol,Manual,Good,3,5,Silver,Convertible,0,30.0,14302,14302.0,Mid-Range,Economy,0.6619072384284431,0.3380927615715569,600,0.037037037037037035,1.0,Dataset1_Kaggle_Style
Audi,Q5,2018,6,143158,23859.666666666668,1.0,Petrol,Manual,Good,3,5,Silver,Wagon,1,33.0,18480,18480.0,Mid-Range,Economy,0.39370078740157477,0.6062992125984252,1134,0.021739130434782608,1.0,Dataset1_Kaggle_Style
BMW,3 Series,2022,2,63918,31959.0,2.0,Petrol,Automatic,Good,3,0,Silver,Convertible,1,37.0,66013,66013.0,Luxury,Luxury,0.05713224686843876,0.9428677531315612,1620,0.047619047619047616,1.0,Dataset1_Kaggle_Style
Chevrolet,Silverado,2010,14,4612,329.42857142857144,4.0,Petrol,Automatic,Fair,2,0,Red,SUV,0,19.0,21483,21483.0,Mid-Range,Mid-Market,0.565850898288301,0.43414910171169896,720,0.07407407407407407,1.0,Dataset1_Kaggle_Style
Toyota,Corolla,2014,10,93643,9364.3,2.4,Petrol,Automatic,Good,3,0,Green,Sedan,0,36.4,18949,18949.0,Mid-Range,Economy,0.5134920023620633,0.48650799763793673,624,0.048,1.0,Dataset1_Kaggle_Style
Chevrolet,Traverse,2022,2,65894,32947.0,1.6,Petrol,Automatic,Good,3,2,White,Convertible,0,40.6,24926,24926.0,Mid-Range,Mid-Market,0.13828389684021292,0.8617161031597871,1036,0.0380952380952381,1.0,Dataset1_Kaggle_Style
Mercedes,E-Class,2013,11,47201,4291.0,2.7,Petrol,Automatic,Fair,2,3,Green,Wagon,1,23.2,26066,26066.0,Premium,Mid-Market,0.4577039903466068,0.5422960096533932,963,0.052941176470588235,1.0,Dataset1_Kaggle_Style
Ford,F-150,2012,12,85821,7151.75,2.7,Petrol,Manual,Fair,2,5,Green,Sedan,0,22.2,9367,9367.0,Budget,Budget,0.7192735337309317,0.2807264662690683,642,0.051923076923076926,1.0,Dataset1_Kaggle_Style
Nissan,Altima,2014,10,25884,2588.4,2.4,Hybrid,Automatic,Fair,2,5,Gray,Wagon,0,44.8,14946,14946.0,Mid-Range,Economy,0.5723115664167573,0.4276884335832427,624,0.048,1.0,Dataset1_Kaggle_Style
Audi,A4,2021,3,12519,4173.0,4.0,Petrol,Automatic,Excellent,4,3,Silver,SUV,1,25.0,78734,78734.0,Luxury,Luxury,0.07080982840418248,0.9291901715958175,1836,0.09302325581395349,1.0,Dataset1_Kaggle_Style
Toyota,Corolla,2010,14,35874,2562.4285714285716,1.2,Petrol,Automatic,Good,3,1,Black,Sedan,0,38.2,16120,16120.0,Mid-Range,Economy,0.6346328195829556,0.3653671804170444,552,0.022222222222222223,1.0,Dataset1_Kaggle_Style
Honda,Pilot,2018,6,39796,6632.666666666667,2.0,Petrol,Manual,Good,3,5,Gray,Hatchback,0,32.0,14201,14201.0,Mid-Range,Economy,0.45799778634403265,0.5420022136559673,840,0.043478260869565216,1.0,Dataset1_Kaggle_Style
BMW,X1,2010,14,38644,2760.285714285714,2.0,Diesel,Manual,Good,3,4,Brown,SUV,1,37.0,30111,30111.0,Premium,Luxury,0.4818364853470083,0.5181635146529917,900,0.037037037037037035,1.0,Dataset1_Kaggle_Style
Toyota,Camry,2011,13,41628,3202.153846153846,5.0,Diesel,Manual,Fair,2,1,Black,SUV,0,38.0,25360,25360.0,Premium,Mid-Market,0.5062305295950156,0.4937694704049844,780,0.09433962264150944,1.0,Dataset1_Kaggle_Style
Ford,Edge,2016,8,148508,18563.5,5.0,Petrol,Automatic,Fair,2,4,Black,Coupe,0,26.0,17527,17527.0,Mid-Range,Economy,0.4772273093327766,0.5227726906672234,936,0.10416666666666667,1.0,Dataset1_Kaggle_Style
Honda,Fit,2007,17,116264,6839.058823529412,2.4,Petrol,Automatic,Good,3,0,White,Convertible,0,30.4,17277,17277.0,Mid-Range,Economy,0.6630653119332255,0.3369346880667745,624,0.042105263157894736,1.0,Dataset1_Kaggle_Style
Volkswagen,Beetle,2018,6,104259,17376.5,2.0,Electric,Manual,Excellent,4,5,White,SUV,0,129.0,31767,31767.0,Premium,Mid-Market,0.2741791760915758,0.7258208239084242,840,0.043478260869565216,1.0,Dataset1_Kaggle_Style
Mercedes,GLC,2023,1,80827,80827.0,1.2,Diesel,Automatic,Excellent,4,4,Black,Sedan,1,36.6,45071,45071.0,Premium,Luxury,0.042489005969705285,0.9575109940302947,1573,0.02926829268292683,1.0,Dataset1_Kaggle_Style
Mercedes,GLE,2020,4,143612,35903.0,2.7,Petrol,Automatic,Good,3,4,Red,Hatchback,1,36.2,31584,31584.0,Premium,Luxury,0.2021018593371059,0.7978981406628941,1540,0.06136363636363636,1.0,Dataset1_Kaggle_Style
